T012 贵金综合 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2015-07-30	86.76	86.85	86.17	86.44	1568046	834920	0.00
2015-07-31	86.44	87.31	86.20	86.21	1158354	838020	0.00
2015-08-03	86.21	87.93	86.21	87.04	963388	839496	0.00
2015-08-05	86.29	86.65	85.94	86.14	776318	905902	0.00
2015-08-06	86.14	86.62	85.94	86.17	834964	896258	0.00
2015-08-07	86.17	87.15	86.07	87.12	973286	847280	0.00
2015-08-10	87.12	87.70	86.36	87.13	1211912	857582	0.00
2015-08-11	87.47	90.26	87.40	89.72	3027978	865014	0.00
2015-08-12	89.72	93.85	89.72	93.75	3306310	895398	0.00
2015-08-13	93.75	94.33	92.75	93.34	2787230	779124	0.00
2015-08-14	93.34	93.34	92.34	92.90	1469934	779662	0.00
2015-08-17	92.90	93.52	91.58	91.83	1715400	774190	0.00
2015-08-18	92.35	92.65	92.04	92.11	1095518	727112	0.00
2015-08-19	92.11	92.11	90.66	91.94	1766274	752996	0.00
2015-08-20	91.94	93.91	91.78	93.50	2049708	768066	0.00
2015-08-21	93.50	95.54	93.50	94.44	2357956	783938	0.00
2015-08-24	94.20	94.20	94.20	94.20	1760120	804776	0.00
2015-08-25	93.32	93.93	92.04	92.42	3168808	748526	0.00
2015-08-26	92.42	93.00	91.23	91.25	2388990	744738	0.00
2015-08-27	91.25	91.25	89.31	90.34	1953320	718640	0.00
2015-08-28	90.34	91.64	89.76	91.23	2367618	686116	0.00
2015-08-31	91.23	91.99	90.51	91.43	1451666	693848	0.00
2015-09-01	91.19	91.83	90.40	91.44	1293598	671320	0.00
2015-09-02	91.44	92.02	90.95	91.29	1312640	659080	0.00
2015-09-07	91.30	91.30	90.33	90.47	360134	666830	0.00
2015-09-08	90.47	90.47	90.04	90.43	929588	676678	0.00
2015-09-09	90.43	91.58	90.43	90.67	2056492	636868	0.00
2015-09-10	90.67	90.67	89.56	90.07	1417076	639898	0.00
2015-09-11	90.07	90.56	89.79	89.96	1324020	654290	0.00
2015-09-14	89.96	89.96	88.86	89.54	1203928	695218	0.00
2015-09-15	89.55	89.72	89.19	89.36	897520	691962	0.00
2015-09-16	89.36	89.74	89.09	89.62	937638	670332	0.00
2015-09-17	89.62	91.31	89.62	90.94	1706942	655318	0.00
2015-09-18	90.94	92.42	90.63	91.58	1937056	654686	0.00
2015-09-21	91.93	91.93	91.93	91.93	951228	671368	0.00
2015-09-22	92.39	92.97	91.94	91.98	529178	660500	0.00
2015-09-23	91.98	91.98	90.73	91.16	760614	636426	0.00
2015-09-24	91.16	91.75	91.16	91.68	535644	648504	0.00
2015-09-25	91.68	93.01	91.68	92.32	1096436	673238	0.00
2015-09-28	92.32	92.42	91.33	91.34	291452	663986	0.00
2015-09-29	91.34	91.34	89.68	89.95	802056	642826	0.00
2015-09-30	89.95	90.50	89.75	89.77	485982	603236	0.00
2015-10-08	93.46	93.46	92.73	92.91	596564	595230	0.00
2015-10-09	92.91	93.37	92.33	92.97	898712	629796	0.00
2015-10-12	92.97	93.57	92.88	93.14	533036	657882	0.00
2015-10-13	93.88	94.02	92.58	92.97	826118	648650	0.00
2015-10-14	92.97	94.37	92.97	94.14	929838	705830	0.00
2015-10-15	94.14	94.87	94.00	94.40	988846	724122	0.00
2015-10-16	94.40	94.76	93.86	93.91	930142	716030	0.00
2015-10-19	93.91	94.47	93.91	94.15	296534	729390	0.00
2015-10-20	93.57	93.93	93.06	93.59	719346	699004	0.00
