TAL9 PTA指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2006-12-18	8532	9019	8516	8832	49396	7782	0
2006-12-19	8834	8919	8777	8867	49906	9140	0
2006-12-20	8906	8930	8870	8918	26180	10696	0
2006-12-21	8873	8904	8823	8870	19754	9884	0
2006-12-22	8853	8887	8783	8880	10300	9320	0
2006-12-25	8890	9098	8885	9058	36114	14766	0
2006-12-26	9060	9101	9009	9091	39400	16492	0
2006-12-27	9021	9062	8949	8959	36428	18384	0
2006-12-28	8944	8953	8803	8809	33754	18412	0
2006-12-29	8803	8878	8724	8841	33208	14910	0
2007-01-04	8645	8749	8508	8716	36272	14420	0
2007-01-05	8647	8787	8601	8764	40260	16322	0
2007-01-08	8784	8817	8723	8731	36316	15234	0
2007-01-09	8715	8803	8704	8761	31788	16708	0
2007-01-10	8778	8801	8731	8736	32546	16952	0
2007-01-11	8694	8773	8693	8726	22940	15302	0
2007-01-12	8710	8734	8640	8661	18756	15876	0
2007-01-15	8726	8767	8674	8686	16500	16434	0
2007-01-16	8697	8732	8607	8614	19408	17180	0
2007-01-17	8587	8629	8462	8479	24778	20284	0
2007-01-18	8524	8524	8347	8363	31584	22546	0
2007-01-19	8338	8387	8247	8344	47930	21210	0
2007-01-22	8357	8375	8100	8125	64642	30284	0
2007-01-23	8058	8183	8048	8155	62192	25760	0
2007-01-24	8213	8306	8174	8248	55592	21884	0
2007-01-25	8249	8279	8206	8245	34692	22506	0
2007-01-26	8251	8290	8224	8275	20956	21702	0
2007-01-29	8302	8327	8200	8211	30758	23160	0
2007-01-30	8176	8217	8128	8188	30320	25214	0
2007-01-31	8271	8303	8231	8260	29792	24960	0
2007-02-01	8268	8302	8253	8281	25954	25774	0
2007-02-02	8257	8331	8187	8195	41346	24462	0
2007-02-05	8242	8256	8153	8183	34598	24506	0
2007-02-06	8171	8229	8169	8214	24230	24472	0
2007-02-07	8239	8289	8217	8274	28676	23464	0
2007-02-08	8239	8284	8207	8251	29506	23610	0
2007-02-09	8301	8376	8277	8302	44752	25464	0
2007-02-12	8289	8352	8275	8344	27544	21434	0
2007-02-13	8317	8417	8317	8403	24732	21974	0
2007-02-14	8416	8455	8380	8439	46394	28048	0
2007-02-15	8414	8437	8388	8410	20824	25642	0
2007-02-16	8403	8427	8388	8420	8600	24114	0
2007-02-26	8486	8527	8399	8414	28838	26530	0
2007-02-27	8402	8430	8363	8401	15058	25902	0
2007-02-28	8346	8413	8322	8398	13630	24782	0
2007-03-01	8414	8459	8383	8456	16510	22898	0
2007-03-02	8449	8517	8442	8513	20996	24860	0
2007-03-05	8480	8504	8439	8459	15072	23096	0
2007-03-06	8450	8484	8412	8470	8638	19622	0
2007-03-07	8478	8506	8461	8481	10190	22216	0
2007-03-08	8493	8503	8453	8477	9486	22946	0
2007-03-09	8498	8507	8435	8458	9868	19310	0
2007-03-12	8408	8425	8347	8368	18710	23224	0
2007-03-13	8387	8408	8366	8378	10778	24178	0
2007-03-14	8361	8378	8329	8363	10336	23210	0
2007-03-15	8387	8427	8359	8391	8262	24402	0
