TFL9 五债加权 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2013-09-06	94.694	94.842	94.154	94.186	36635	2959	0.000
2013-09-09	94.175	94.175	93.876	93.919	12810	3142	0.000
2013-09-10	93.888	93.926	93.816	93.852	5764	2951	0.000
2013-09-11	93.738	93.786	93.505	93.607	9250	3599	0.000
2013-09-12	93.596	93.841	93.596	93.741	8764	3173	0.000
2013-09-13	93.719	93.854	93.689	93.777	7091	3275	0.000
2013-09-16	93.776	93.947	93.776	93.865	3979	3451	0.000
2013-09-17	93.880	94.563	93.855	94.231	22940	5286	0.000
2013-09-18	94.255	94.382	94.107	94.213	10980	4742	0.000
2013-09-23	94.236	94.594	94.236	94.356	7674	4831	0.000
2013-09-24	94.322	94.404	94.248	94.347	5224	4808	0.000
2013-09-25	94.355	94.554	94.355	94.425	8468	5054	0.000
2013-09-26	94.451	94.614	94.451	94.577	5513	5088	0.000
2013-09-27	94.556	94.556	94.307	94.350	4607	4444	0.000
2013-09-30	94.352	94.501	94.213	94.464	3621	4444	0.000
2013-10-08	94.517	94.543	94.408	94.416	2462	4302	0.000
2013-10-09	94.341	94.401	94.287	94.364	1947	4157	0.000
2013-10-10	94.363	94.442	94.287	94.352	1545	4126	0.000
2013-10-11	94.352	94.352	94.227	94.293	1764	4039	0.000
2013-10-14	94.282	94.282	93.987	94.122	2599	4009	0.000
2013-10-15	94.120	94.120	93.857	93.956	2363	4085	0.000
2013-10-16	93.871	94.109	93.850	94.022	3365	4389	0.000
2013-10-17	94.010	94.047	93.910	93.937	1647	4431	0.000
2013-10-18	93.936	93.955	93.826	93.899	1056	4473	0.000
2013-10-21	93.898	93.956	93.829	93.872	1099	4297	0.000
2013-10-22	93.867	93.884	93.733	93.788	2073	4041	0.000
2013-10-23	93.776	93.864	93.706	93.826	1910	3982	0.000
2013-10-24	93.815	93.833	93.577	93.619	2214	4216	0.000
2013-10-25	93.618	93.707	93.528	93.707	2265	4077	0.000
2013-10-28	93.687	93.777	93.662	93.694	1701	4094	0.000
2013-10-29	93.683	93.788	93.535	93.535	2671	4285	0.000
2013-10-30	93.555	93.597	93.480	93.569	1924	4249	0.000
2013-10-31	93.567	93.779	93.551	93.767	2201	4024	0.000
2013-11-01	93.789	93.942	93.789	93.862	1807	3914	0.000
2013-11-04	93.835	93.875	93.577	93.664	2075	3727	0.000
2013-11-05	93.672	93.672	93.442	93.528	2544	3052	0.000
2013-11-06	93.537	93.562	93.400	93.424	1992	3381	0.000
2013-11-07	93.380	93.489	92.901	92.910	4331	3867	0.000
2013-11-08	92.886	92.886	91.964	92.431	3482	3406	0.000
2013-11-11	92.509	92.509	91.784	91.879	4213	3526	0.000
2013-11-12	91.918	92.480	91.918	92.241	6063	3038	0.000
2013-11-13	92.242	92.243	91.744	91.970	3911	3328	0.000
2013-11-14	91.956	92.045	91.586	91.799	3911	3568	0.000
2013-11-15	91.777	91.777	91.440	91.481	4177	3809	0.000
2013-11-18	91.500	91.612	91.151	91.465	3797	3864	0.000
2013-11-19	91.485	91.763	91.065	91.072	3981	4143	0.000
2013-11-20	91.036	91.361	90.959	91.293	4640	4498	0.000
2013-11-21	91.309	91.615	91.309	91.615	4261	4300	0.000
2013-11-22	91.603	92.014	91.574	91.825	3643	3978	0.000
2013-11-25	91.809	92.072	91.455	91.538	2773	3756	0.000
2013-11-26	91.546	91.621	91.329	91.621	1886	3663	0.000
2013-11-27	91.595	92.151	91.595	92.067	4124	3468	0.000
2013-11-28	92.077	92.343	91.851	92.326	3618	3167	0.000
2013-11-29	92.336	92.574	92.282	92.349	4355	3208	0.000
2013-12-02	92.352	92.405	91.873	91.880	2519	3278	0.000
2013-12-03	91.957	92.345	91.764	92.186	3771	3139	0.000
2013-12-04	92.188	92.478	91.895	92.033	3667	3118	0.000
2013-12-05	91.989	92.149	91.760	91.776	3823	3285	0.000
2013-12-06	91.798	91.953	91.604	91.866	2110	3103	0.000
2013-12-09	91.815	92.020	91.631	91.675	2006	3208	0.000
2013-12-10	91.645	91.645	91.299	91.307	3153	3662	0.000
2013-12-11	91.311	91.478	91.178	91.418	4045	3612	0.000
2013-12-12	91.488	91.795	91.415	91.708	4271	3425	0.000
2013-12-13	91.759	91.947	91.650	91.947	3361	2940	0.000
2013-12-16	91.911	91.911	91.492	91.494	1965	2899	0.000
2013-12-17	91.487	91.631	91.396	91.628	2350	2994	0.000
2013-12-18	91.589	91.625	91.304	91.478	2680	3092	0.000
