TL9 十债加权 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2015-03-23	96.991	97.061	96.877	97.028	1387	1727	0.000
2015-03-24	97.062	97.229	96.893	96.932	1383	2148	0.000
2015-03-25	97.030	97.043	96.775	96.863	1243	2531	0.000
2015-03-26	96.848	96.902	96.382	96.382	1077	3060	0.000
2015-03-27	96.082	96.517	95.997	96.497	1799	3627	0.000
2015-03-30	96.266	96.411	96.013	96.169	1170	3921	0.000
2015-03-31	95.785	95.913	95.580	95.660	2336	4717	0.000
2015-04-01	95.689	96.100	95.665	96.100	673	4602	0.000
2015-04-02	96.303	96.426	96.204	96.326	1012	4664	0.000
2015-04-03	96.321	96.381	96.014	96.019	1099	5146	0.000
2015-04-07	96.067	96.315	95.864	95.937	840	5480	0.000
2015-04-08	96.041	96.106	95.141	95.169	2944	6705	0.000
2015-04-09	95.258	95.407	95.203	95.274	1416	7440	0.000
2015-04-10	95.353	95.422	95.180	95.199	1073	7844	0.000
2015-04-13	95.229	95.683	95.229	95.634	1905	8978	0.000
2015-04-14	95.703	96.005	95.540	95.580	1723	9586	0.000
2015-04-15	96.015	96.288	95.785	96.155	2169	9806	0.000
2015-04-16	96.007	96.353	96.007	96.184	1436	10317	0.000
2015-04-17	96.145	96.501	96.056	96.306	1614	10930	0.000
2015-04-20	96.998	97.277	96.673	97.257	3236	11255	0.000
2015-04-21	97.420	97.947	97.356	97.398	4974	12250	0.000
2015-04-22	97.437	97.621	97.319	97.425	2975	12793	0.000
2015-04-23	97.375	97.461	96.953	97.343	2309	13339	0.000
2015-04-24	97.199	97.259	96.829	97.035	2116	13627	0.000
2015-04-27	97.134	97.852	97.084	97.763	3275	14805	0.000
2015-04-28	97.704	97.842	97.614	97.744	1624	15182	0.000
2015-04-29	97.675	97.779	97.526	97.693	2236	16163	0.000
2015-04-30	97.748	98.102	97.703	97.958	3969	17583	0.000
2015-05-04	97.760	97.778	97.544	97.604	2694	18081	0.000
2015-05-05	97.544	97.677	97.489	97.508	3813	19672	0.000
2015-05-06	97.434	97.434	97.071	97.158	5891	21676	0.000
2015-05-07	97.178	97.372	97.098	97.203	3915	22869	0.000
2015-05-08	97.332	97.606	97.322	97.453	3761	23437	0.000
2015-05-11	96.631	97.448	96.631	97.324	4876	23365	0.000
2015-05-12	97.374	97.463	96.884	96.994	3203	23454	0.000
2015-05-13	97.073	97.353	96.974	97.229	4285	24513	0.000
2015-05-14	97.422	97.533	97.010	97.105	3811	25282	0.000
2015-05-15	97.224	97.348	97.129	97.189	2410	25171	0.000
2015-05-18	97.249	97.249	96.680	96.710	5075	25281	0.000
2015-05-19	96.655	96.843	96.481	96.566	3796	25223	0.000
2015-05-20	96.645	96.919	96.590	96.885	2708	25842	0.000
2015-05-21	96.830	96.865	96.478	96.684	2564	25747	0.000
2015-05-22	96.705	96.821	96.695	96.753	2067	26392	0.000
2015-05-25	96.719	96.837	96.478	96.532	1886	26839	0.000
2015-05-26	96.351	96.413	95.228	95.673	5897	26209	0.000
2015-05-27	95.672	95.974	95.595	95.812	3185	26294	0.000
2015-05-28	95.612	95.752	94.829	95.018	4634	26116	0.000
2015-05-29	95.116	95.160	94.851	94.935	3115	25549	0.000
2015-06-01	94.949	94.975	93.915	94.232	6945	23214	0.000
2015-06-02	94.524	95.117	94.499	95.005	5943	22791	0.000
