TSL9 二债加权 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2018-08-20	99.135	99.260	99.135	99.215	1866	3179	0.000
2018-08-21	99.205	99.235	99.120	99.185	1339	3272	0.000
2018-08-22	99.240	99.290	99.190	99.200	1225	3561	0.000
2018-08-23	99.255	99.280	99.225	99.275	820	3487	0.000
2018-08-24	99.305	99.379	99.305	99.310	466	3366	0.000
2018-08-27	99.270	99.300	99.205	99.270	672	3566	0.000
2018-08-28	99.215	99.314	99.185	99.274	600	3560	0.000
2018-08-29	99.254	99.319	99.254	99.309	210	3548	0.000
2018-08-30	99.413	99.413	99.299	99.363	537	3452	0.000
2018-08-31	99.359	99.398	99.314	99.374	241	3365	0.000
2018-09-03	99.339	99.364	99.309	99.329	108	3337	0.000
2018-09-04	99.314	99.314	99.264	99.279	90	3334	0.000
2018-09-05	99.289	99.314	99.274	99.274	109	3338	0.000
2018-09-06	99.289	99.304	99.264	99.269	204	3294	0.000
2018-09-07	99.260	99.279	99.245	99.255	360	3284	0.000
2018-09-10	99.250	99.274	99.220	99.250	393	3260	0.000
2018-09-11	99.225	99.245	99.205	99.240	383	3288	0.000
2018-09-12	99.250	99.255	99.220	99.240	365	3215	0.000
2018-09-13	99.235	99.309	99.220	99.269	275	3156	0.000
2018-09-14	99.294	99.304	99.274	99.299	129	3115	0.000
2018-09-17	99.402	99.402	99.323	99.343	163	3153	0.000
2018-09-18	99.353	99.378	99.333	99.338	126	3158	0.000
2018-09-19	99.353	99.373	99.309	99.309	262	3147	0.000
2018-09-20	99.264	99.299	99.249	99.274	163	3136	0.000
2018-09-21	99.269	99.318	99.269	99.318	140	3073	0.000
2018-09-25	99.304	99.328	99.279	99.294	136	3101	0.000
2018-09-26	99.279	99.343	99.274	99.338	168	3093	0.000
2018-09-27	99.378	99.399	99.343	99.393	217	3089	0.000
2018-09-28	99.448	99.448	99.359	99.389	201	3050	0.000
2018-10-08	99.374	99.404	99.320	99.384	162	3042	0.000
2018-10-09	99.384	99.468	99.384	99.448	271	3095	0.000
2018-10-10	99.477	99.477	99.428	99.448	195	3105	0.000
2018-10-11	99.531	99.536	99.482	99.512	208	3116	0.000
2018-10-12	99.502	99.527	99.492	99.522	119	3117	0.000
2018-10-15	99.517	99.522	99.502	99.507	63	3132	0.000
2018-10-16	99.492	99.532	99.473	99.532	280	3198	0.000
2018-10-17	99.517	99.541	99.507	99.517	90	3177	0.000
2018-10-18	99.532	99.556	99.522	99.532	97	3195	0.000
2018-10-19	99.522	99.556	99.468	99.487	277	3155	0.000
2018-10-22	99.448	99.458	99.428	99.438	172	3153	0.000
2018-10-23	99.409	99.487	99.409	99.482	153	3090	0.000
2018-10-24	99.468	99.509	99.468	99.504	74	3072	0.000
2018-10-25	99.538	99.538	99.518	99.528	114	3058	0.000
2018-10-26	99.513	99.538	99.504	99.528	57	3042	0.000
2018-10-29	99.549	99.623	99.530	99.613	179	3016	0.000
2018-10-30	99.649	99.649	99.565	99.609	249	2959	0.000
2018-10-31	99.594	99.634	99.575	99.634	204	2917	0.000
2018-11-01	99.629	99.653	99.600	99.639	321	2901	0.000
2018-11-02	99.600	99.644	99.556	99.610	433	2798	0.000
2018-11-05	99.609	99.662	99.580	99.653	935	3087	0.000
2018-11-06	99.649	99.771	99.640	99.771	883	2950	0.000
2018-11-07	99.782	99.878	99.717	99.867	712	2537	0.000
2018-11-08	99.876	99.928	99.876	99.918	467	2419	0.000
2018-11-09	99.908	99.935	99.883	99.892	432	2412	0.000
2018-11-12	99.903	99.903	99.874	99.888	231	2324	0.000
2018-11-13	99.919	99.919	99.869	99.872	53	2295	0.000
2018-11-14	99.918	100.072	99.904	100.034	307	2257	0.000
2018-11-15	100.034	100.096	100.034	100.041	103	2243	0.000
2018-11-16	100.046	100.089	100.000	100.070	266	2300	0.000
2018-11-19	100.070	100.079	100.018	100.051	268	2220	0.000
2018-11-20	100.022	100.073	100.022	100.037	122	2184	0.000
2018-11-21	100.080	100.121	100.035	100.040	135	2168	0.000
2018-11-22	100.041	100.050	99.986	100.015	306	2142	0.000
2018-11-23	100.035	100.051	99.972	100.009	147	2132	0.000
2018-11-26	100.072	100.080	99.975	100.011	273	2114	0.000
2018-11-27	99.926	100.053	99.922	99.989	208	2105	0.000
2018-11-28	100.011	100.055	99.995	100.050	83	2096	0.000
2018-11-29	100.044	100.064	99.993	100.040	972	1219	0.000
2018-11-30	100.042	100.060	99.966	99.978	330	1059	0.000
2018-12-03	100.001	100.001	99.846	99.972	263	1060	0.000
2018-12-04	99.972	100.046	99.972	100.046	174	965	0.000
2018-12-05	100.136	100.136	100.061	100.068	377	975	0.000
