URL9 尿素指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2019-08-12	1695	1732	1686	1724	572480	108244	0
2019-08-13	1716	1773	1710	1773	670284	148766	0
2019-08-14	1775	1787	1722	1738	608190	107568	0
2019-08-15	1743	1758	1730	1744	369202	108490	0
2019-08-16	1747	1759	1739	1745	159736	102480	0
2019-08-19	1751	1755	1737	1747	119184	101432	0
2019-08-20	1748	1754	1743	1747	59142	95214	0
2019-08-21	1738	1741	1713	1726	196590	92522	0
2019-08-22	1731	1738	1726	1732	62440	87374	0
2019-08-23	1734	1734	1723	1729	41026	86736	0
2019-08-26	1724	1755	1724	1745	86154	83662	0
2019-08-27	1744	1764	1741	1746	121728	84844	0
2019-08-28	1751	1764	1746	1757	67282	85124	0
2019-08-29	1760	1819	1759	1792	469708	110314	0
2019-08-30	1800	1809	1787	1796	167562	109242	0
2019-09-02	1814	1830	1789	1802	151832	115362	0
2019-09-03	1804	1811	1791	1797	95336	113972	0
2019-09-04	1804	1846	1798	1817	306574	120310	0
2019-09-05	1825	1834	1812	1817	129152	114720	0
2019-09-06	1824	1832	1815	1825	90504	115396	0
2019-09-09	1838	1842	1822	1828	88384	118968	0
2019-09-10	1833	1839	1809	1816	115548	113114	0
2019-09-11	1819	1825	1814	1822	52098	108118	0
2019-09-12	1821	1827	1817	1819	37538	104330	0
2019-09-16	1824	1826	1794	1796	95056	96384	0
2019-09-17	1797	1801	1784	1788	61846	90200	0
2019-09-18	1782	1793	1773	1793	74356	87924	0
2019-09-19	1793	1801	1785	1787	62810	90946	0
2019-09-20	1783	1784	1763	1770	90582	95116	0
2019-09-23	1775	1778	1767	1774	49042	98296	0
2019-09-24	1776	1786	1770	1782	52798	93848	0
2019-09-25	1782	1782	1765	1768	44628	98260	0
2019-09-26	1769	1776	1758	1769	42052	94558	0
2019-09-27	1762	1768	1759	1763	24410	89178	0
2019-09-30	1770	1775	1765	1768	24976	87650	0
2019-10-08	1764	1776	1743	1765	39578	89204	0
2019-10-09	1766	1783	1764	1780	56624	98068	0
2019-10-10	1777	1789	1768	1770	36928	98936	0
2019-10-11	1771	1773	1761	1765	27160	99728	0
2019-10-14	1761	1765	1746	1751	33178	106376	0
2019-10-15	1746	1750	1744	1749	22988	109584	0
2019-10-16	1750	1753	1742	1742	23166	110682	0
2019-10-17	1738	1739	1725	1728	45914	117266	0
2019-10-18	1729	1736	1724	1727	24478	118392	0
2019-10-21	1722	1728	1714	1715	37868	124086	0
2019-10-22	1716	1718	1687	1696	103498	142576	0
2019-10-23	1695	1698	1689	1692	39750	144192	0
2019-10-24	1695	1704	1693	1698	43270	145156	0
2019-10-25	1699	1702	1693	1696	35844	148140	0
2019-10-28	1700	1705	1695	1702	34266	144130	0
2019-10-29	1701	1709	1697	1703	38808	141670	0
2019-10-30	1700	1711	1699	1707	32522	141052	0
2019-10-31	1707	1713	1701	1702	30380	142406	0
2019-11-01	1699	1706	1697	1703	26256	141110	0
2019-11-04	1703	1705	1696	1698	20906	142674	0
2019-11-05	1700	1721	1698	1718	60954	147976	0
2019-11-06	1720	1721	1700	1701	41036	144774	0
2019-11-07	1703	1706	1686	1687	75014	157208	0
2019-11-08	1690	1690	1661	1665	92444	169114	0
2019-11-11	1666	1669	1658	1660	49246	170752	0
2019-11-12	1663	1677	1658	1669	41712	167200	0
2019-11-13	1668	1682	1667	1672	38634	165424	0
2019-11-14	1673	1678	1655	1660	58252	167868	0
2019-11-15	1661	1674	1657	1673	57944	153874	0
2019-11-18	1670	1670	1629	1635	137712	167562	0
2019-11-19	1627	1641	1615	1635	92666	163080	0
2019-11-20	1632	1650	1626	1633	70504	157624	0
2019-11-21	1635	1637	1626	1632	30864	159166	0
2019-11-22	1642	1663	1640	1656	97524	151118	0
2019-11-25	1671	1698	1665	1691	116146	137186	0
2019-11-26	1691	1694	1678	1681	76810	130496	0
2019-11-27	1687	1702	1685	1698	63556	127834	0
2019-11-28	1700	1700	1687	1695	52990	128804	0
2019-11-29	1695	1699	1685	1698	59096	117558	0
2019-12-02	1694	1694	1683	1685	45828	119012	0
2019-12-03	1691	1694	1681	1684	39344	122462	0
2019-12-04	1687	1719	1686	1709	70486	116864	0
2019-12-05	1710	1737	1706	1735	129210	109562	0
2019-12-06	1732	1742	1726	1731	64050	108988	0
2019-12-09	1738	1750	1736	1743	65890	108280	0
2019-12-10	1742	1751	1738	1739	60450	108314	0
2019-12-11	1735	1737	1726	1733	58470	111798	0
2019-12-12	1731	1740	1730	1731	59540	104996	0
2019-12-13	1736	1738	1723	1727	63640	96000	0
2019-12-16	1727	1733	1716	1722	55460	92550	0
2019-12-17	1720	1729	1719	1723	41938	93420	0
2019-12-18	1721	1723	1707	1707	52134	92740	0
2019-12-19	1708	1724	1707	1724	46042	87570	0
2019-12-20	1724	1725	1713	1713	27816	87188	0
2019-12-23	1717	1719	1711	1714	25448	89482	0
2019-12-24	1713	1714	1696	1699	56756	100222	0
2019-12-25	1701	1707	1700	1703	27460	100896	0
2019-12-26	1702	1712	1701	1711	30642	101440	0
2019-12-27	1711	1719	1707	1708	40214	101534	0
2019-12-30	1703	1718	1700	1713	46970	111246	0
2019-12-31	1710	1725	1709	1720	44424	115760	0
2020-01-02	1720	1728	1714	1714	23107	59295	0
2020-01-03	1707	1717	1704	1712	27089	59008	0
2020-01-06	1718	1732	1714	1726	26461	57535	0
2020-01-07	1727	1744	1726	1739	30521	58789	0
2020-01-08	1765	1770	1728	1742	49595	49432	0
2020-01-09	1734	1739	1727	1728	18890	49527	0
2020-01-10	1734	1742	1733	1735	21118	49406	0
2020-01-13	1738	1763	1735	1756	42228	51376	0
2020-01-14	1750	1767	1750	1750	27868	49675	0
