VL9 PVC指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2009-05-25	6575	6622	6451	6493	146284	23824	0
2009-05-26	6486	6536	6464	6481	67194	22856	0
2009-05-27	6510	6534	6488	6509	62726	22766	0
2009-06-01	6569	6602	6534	6598	56204	23394	0
2009-06-02	6602	6610	6583	6591	44034	24400	0
2009-06-03	6597	6628	6582	6624	43544	24800	0
2009-06-04	6583	6695	6563	6602	36970	24336	0
2009-06-05	6639	6724	6638	6699	52168	27454	0
2009-06-08	6694	6990	6650	6966	138416	53220	0
2009-06-09	6999	7141	6912	7033	382344	65886	0
2009-06-10	7100	7110	6958	6989	239186	55978	0
2009-06-11	7017	7044	6947	6957	133326	56452	0
2009-06-12	6963	6984	6827	6850	169874	57240	0
2009-06-15	6824	6916	6791	6873	143152	57926	0
2009-06-16	6825	6897	6821	6870	99026	55124	0
2009-06-17	6847	6994	6821	6952	237812	64970	0
2009-06-18	6972	7087	6925	6952	258406	68870	0
2009-06-19	6977	7020	6912	6933	150522	69028	0
2009-06-22	6865	6942	6852	6852	141510	69466	0
2009-06-23	6782	6821	6748	6813	128320	65020	0
2009-06-24	6838	6838	6764	6807	87224	61442	0
2009-06-25	6810	6884	6791	6855	104420	62414	0
2009-06-26	6904	6928	6850	6903	84594	59114	0
2009-06-29	6887	6890	6803	6806	72760	60040	0
2009-06-30	6848	6930	6832	6905	106464	63428	0
2009-07-01	6874	6924	6846	6875	80548	63332	0
2009-07-02	6852	6918	6846	6861	83032	60904	0
2009-07-03	6830	6902	6797	6889	100338	59016	0
2009-07-06	6878	6968	6870	6895	129240	58784	0
2009-07-07	6910	6949	6902	6943	77796	60326	0
2009-07-08	6911	6920	6873	6894	64784	54374	0
2009-07-09	6865	6896	6846	6892	65886	55216	0
2009-07-10	6909	6997	6896	6903	123120	56684	0
2009-07-13	6922	6932	6863	6866	76958	55182	0
2009-07-14	6895	6895	6864	6882	64126	58834	0
2009-07-15	6894	6955	6866	6944	101858	66864	0
2009-07-16	6963	7010	6910	6943	97308	66880	0
2009-07-17	6954	7032	6936	7009	145736	84568	0
2009-07-20	7032	7080	7015	7041	130388	92882	0
2009-07-21	7042	7043	6914	6945	118998	85790	0
2009-07-22	6950	6978	6917	6922	100290	79642	0
2009-07-23	6941	6956	6900	6947	99380	79714	0
2009-07-24	6952	6993	6940	6969	83128	84516	0
2009-07-27	6977	7171	6977	7160	188748	132122	0
2009-07-28	7149	7260	7128	7204	188444	145700	0
2009-07-29	7182	7293	7104	7155	190840	133370	0
2009-07-30	7141	7445	7127	7441	452006	198382	0
2009-07-31	7510	7698	7481	7620	360152	204818	0
2009-08-03	7732	7814	7526	7703	493304	223800	0
2009-08-04	7722	7765	7367	7486	515610	212130	0
2009-08-05	7550	7631	7433	7491	367914	204954	0
2009-08-06	7522	7755	7480	7710	689532	250330	0
2009-08-07	7703	7794	7521	7547	655900	231646	0
2009-08-10	7553	7710	7544	7653	567614	242374	0
2009-08-11	7630	7994	7630	7908	928152	271460	0
2009-08-12	7916	8001	7750	7765	653728	255112	0
2009-08-13	7875	7957	7796	7853	498014	257066	0
2009-08-14	7899	7923	7621	7648	653016	235136	0
2009-08-17	7483	7504	7324	7327	243002	214952	0
