WHL9 强麦指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2003-03-28	1677	1677	1669	1673	9724	9696	0
2003-03-31	1708	1743	1705	1739	10606	15416	0
2003-04-01	1756	1794	1752	1782	12162	18956	0
2003-04-02	1794	1812	1779	1804	41372	40332	0
2003-04-03	1809	1820	1796	1800	48178	54664	0
2003-04-04	1797	1810	1784	1800	65462	66790	0
2003-04-07	1803	1804	1788	1795	30332	70614	0
2003-04-08	1797	1799	1748	1756	50782	72996	0
2003-04-09	1752	1811	1737	1779	160980	83330	0
2003-04-10	1777	1797	1773	1779	63190	82716	0
2003-04-11	1778	1784	1769	1780	54822	87260	0
2003-04-14	1779	1783	1752	1760	59886	87256	0
2003-04-15	1760	1782	1755	1773	68898	90918	0
2003-04-16	1772	1780	1765	1775	49622	90670	0
2003-04-17	1776	1809	1771	1798	99252	106080	0
2003-04-18	1800	1813	1785	1788	81712	109906	0
2003-04-21	1788	1796	1747	1778	113888	101228	0
2003-04-22	1780	1785	1762	1772	65990	98592	0
2003-04-23	1772	1774	1758	1759	55220	100040	0
2003-04-24	1758	1773	1754	1766	65220	97496	0
2003-04-25	1771	1784	1768	1777	60970	97782	0
2003-04-28	1779	1784	1766	1773	65142	100862	0
2003-04-29	1768	1771	1743	1751	72354	101654	0
2003-04-30	1749	1761	1746	1757	55976	102126	0
2003-05-12	1775	1783	1753	1758	57716	112056	0
2003-05-13	1758	1763	1746	1751	58426	115344	0
2003-05-14	1749	1762	1744	1754	88736	138132	0
2003-05-15	1755	1756	1703	1706	154678	128470	0
2003-05-16	1702	1714	1678	1684	211462	145730	0
2003-05-19	1683	1688	1672	1681	102778	151350	0
2003-05-20	1679	1688	1661	1666	120064	143492	0
2003-05-21	1667	1680	1658	1676	116566	157882	0
2003-05-22	1675	1680	1667	1669	84482	162166	0
2003-05-23	1666	1667	1648	1649	106132	170214	0
2003-05-26	1646	1658	1635	1656	172748	188262	0
2003-05-27	1656	1658	1639	1645	98104	197310	0
2003-05-28	1643	1650	1637	1644	112250	216672	0
2003-05-29	1641	1642	1602	1619	121546	204100	0
2003-05-30	1619	1660	1613	1625	106604	207466	0
2003-06-02	1619	1627	1615	1625	59290	211462	0
2003-06-03	1623	1634	1617	1624	103178	225642	0
2003-06-04	1619	1622	1605	1614	134532	211552	0
2003-06-05	1611	1616	1604	1609	81834	209358	0
2003-06-06	1610	1618	1608	1613	63738	208198	0
2003-06-09	1616	1630	1612	1614	111400	214736	0
2003-06-10	1615	1624	1613	1621	60862	206406	0
2003-06-11	1623	1626	1617	1620	41212	200294	0
2003-06-12	1620	1644	1620	1643	129028	213936	0
2003-06-13	1642	1643	1631	1633	91350	213894	0
2003-06-16	1627	1633	1618	1626	91464	204304	0
2003-06-17	1626	1638	1624	1634	85830	203796	0
2003-06-18	1633	1647	1633	1636	98204	209830	0
2003-06-19	1636	1640	1629	1630	62594	205288	0
2003-06-20	1630	1632	1620	1624	122522	199152	0
2003-06-23	1624	1629	1617	1621	93896	198276	0
2003-06-24	1620	1622	1596	1600	126836	195764	0
2003-06-25	1598	1602	1561	1597	350914	202050	0
2003-06-26	1597	1607	1586	1593	190942	208660	0
2003-06-27	1590	1590	1554	1575	178028	189814	0
2003-06-30	1574	1580	1567	1573	102796	186438	0
2003-07-01	1575	1582	1573	1579	56134	186676	0
2003-07-02	1579	1589	1574	1579	81716	184132	0
2003-07-03	1580	1586	1579	1585	50394	182250	0
2003-07-04	1585	1598	1580	1592	90410	185998	0
2003-07-07	1594	1602	1589	1597	121398	207740	0
2003-07-08	1596	1599	1592	1596	57992	203236	0
2003-07-09	1595	1599	1590	1593	48746	202118	0
2003-07-10	1596	1618	1594	1618	183056	235516	0
2003-07-11	1616	1620	1603	1614	172428	241652	0
2003-07-14	1614	1624	1610	1614	165364	261242	0
2003-07-15	1613	1623	1606	1621	169300	275500	0
2003-07-16	1620	1629	1618	1621	134558	288424	0
2003-07-17	1622	1624	1617	1623	64418	289370	0
2003-07-18	1627	1635	1622	1628	161102	313128	0
2003-07-21	1625	1634	1622	1631	127392	313668	0
2003-07-22	1631	1647	1629	1645	186460	317986	0
2003-07-23	1647	1647	1638	1639	137660	326462	0
2003-07-24	1642	1642	1634	1636	104722	328944	0
2003-07-25	1638	1649	1630	1636	137636	325258	0
2003-07-28	1636	1656	1634	1653	159902	333770	0
2003-07-29	1656	1662	1649	1653	147602	336006	0
2003-07-30	1652	1657	1645	1647	102520	333284	0
2003-07-31	1647	1658	1643	1653	87642	341194	0
2003-08-01	1655	1663	1647	1650	161638	338528	0
2003-08-04	1651	1671	1648	1667	150068	336872	0
2003-08-05	1666	1678	1658	1666	243370	346614	0
2003-08-06	1664	1669	1653	1660	164180	332966	0
2003-08-07	1661	1678	1660	1674	117364	321112	0
2003-08-08	1675	1686	1671	1678	119552	311698	0
2003-08-11	1675	1682	1636	1674	243172	274926	0
2003-08-12	1672	1683	1670	1674	93554	270262	0
2003-08-13	1673	1675	1659	1661	95694	264134	0
2003-08-14	1657	1659	1643	1650	173438	250738	0
2003-08-15	1647	1656	1646	1652	53526	246626	0
2003-08-18	1653	1672	1651	1664	93064	244598	0
2003-08-19	1665	1705	1663	1694	222276	231868	0
2003-08-20	1694	1713	1689	1702	156696	233970	0
2003-08-21	1703	1711	1675	1677	154216	222082	0
2003-08-22	1674	1690	1670	1685	167322	200662	0
2003-08-25	1680	1686	1636	1638	197848	180490	0
2003-08-26	1629	1649	1596	1611	265940	170470	0
2003-08-27	1618	1633	1609	1629	127168	167834	0
2003-08-28	1628	1629	1597	1610	154206	177080	0
2003-08-29	1610	1627	1608	1618	98292	175224	0
2003-09-01	1615	1621	1603	1612	60542	164894	0
2003-09-02	1610	1628	1609	1623	62968	161222	0
2003-09-03	1622	1628	1618	1620	30666	161634	0
2003-09-04	1618	1627	1617	1623	31504	162260	0
2003-09-05	1622	1624	1604	1608	67466	158996	0
2003-09-08	1605	1610	1594	1609	45772	157952	0
2003-09-09	1608	1621	1608	1619	39768	156666	0
2003-09-10	1618	1619	1606	1608	36464	155682	0
2003-09-11	1607	1617	1606	1614	33582	156274	0
2003-09-12	1613	1618	1608	1616	33580	155270	0
2003-09-15	1608	1648	1608	1648	118298	168404	0
2003-09-16	1647	1663	1642	1659	127078	180778	0
2003-09-17	1657	1659	1646	1653	59284	182644	0
2003-09-18	1655	1666	1654	1664	67534	187958	0
2003-09-19	1664	1665	1634	1634	85000	176702	0
2003-09-22	1631	1633	1607	1617	117322	158128	0
2003-09-23	1613	1629	1610	1611	77222	153862	0
2003-09-24	1610	1617	1595	1597	116990	155600	0
2003-09-25	1594	1603	1567	1581	197522	157328	0
2003-09-26	1584	1594	1571	1574	124370	160580	0
2003-09-29	1575	1578	1563	1573	103080	159408	0
2003-09-30	1583	1587	1571	1576	51446	159168	0
2003-10-08	1571	1625	1566	1621	160008	160078	0
2003-10-09	1622	1635	1612	1621	106648	161654	0
2003-10-10	1622	1633	1613	1628	88190	157586	0
2003-10-13	1635	1678	1635	1678	90436	158206	0
2003-10-14	1719	1747	1690	1728	281682	174510	0
2003-10-15	1716	1779	1704	1746	270778	181024	0
2003-10-16	1750	1780	1695	1695	354044	165338	0
2003-10-17	1670	1695	1660	1660	118056	154650	0
2003-10-20	1621	1722	1620	1689	344118	142216	0
2003-10-21	1696	1718	1681	1683	132658	143096	0
2003-10-22	1693	1752	1688	1748	252748	150330	0
2003-10-23	1772	1792	1689	1703	374040	171400	0
2003-10-24	1714	1739	1696	1698	143886	161578	0
2003-10-27	1700	1762	1698	1753	179944	153188	0
2003-10-28	1733	1752	1712	1743	152044	152498	0
2003-10-29	1771	1784	1753	1777	160924	160148	0
2003-10-30	1784	1797	1751	1780	182158	161800	0
2003-10-31	1778	1805	1768	1789	121402	170190	0
2003-11-03	1787	1821	1785	1811	102062	161384	0
2003-11-04	1813	1818	1762	1788	101846	140296	0
2003-11-05	1764	1797	1755	1769	106746	136454	0
2003-11-06	1790	1801	1777	1785	55102	135906	0
2003-11-07	1783	1784	1741	1764	67018	125446	0
2003-11-10	1767	1801	1757	1797	49604	127156	0
