WRL9 线材指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2009-03-27	3400	3493	3365	3399	106872	13074	0
2009-03-30	3382	3437	3382	3417	46458	14324	0
2009-03-31	3411	3425	3402	3421	15348	14028	0
2009-04-01	3424	3424	3409	3411	6796	12576	0
2009-04-02	3402	3415	3340	3353	30220	15262	0
2009-04-03	3366	3366	3316	3327	23294	19050	0
2009-04-07	3303	3373	3303	3358	29258	23048	0
2009-04-08	3352	3360	3335	3338	12352	22506	0
2009-04-09	3345	3362	3333	3346	9006	23572	0
2009-04-10	3358	3363	3344	3357	11346	24154	0
2009-04-13	3353	3382	3334	3358	11552	25416	0
2009-04-14	3365	3454	3357	3428	30292	27902	0
2009-04-15	3435	3450	3417	3434	17030	29088	0
2009-04-16	3452	3502	3439	3483	19814	32538	0
2009-04-17	3495	3524	3471	3506	31172	35424	0
2009-04-20	3536	3536	3494	3505	21042	39264	0
2009-04-21	3491	3491	3335	3427	24534	36738	0
2009-04-22	3464	3464	3419	3431	12596	36236	0
2009-04-23	3430	3439	3402	3420	9852	36810	0
2009-04-24	3410	3429	3408	3410	6976	37162	0
2009-04-27	3417	3430	3389	3405	7708	37120	0
2009-04-28	3412	3420	3407	3411	4322	37054	0
2009-04-29	3414	3437	3409	3434	6208	37220	0
2009-04-30	3447	3464	3430	3452	15902	38796	0
2009-05-04	3495	3569	3475	3548	35990	41146	0
2009-05-05	3565	3565	3485	3492	13900	40614	0
2009-05-06	3492	3511	3482	3510	7650	42150	0
2009-05-07	3518	3555	3499	3501	12472	41600	0
2009-05-08	3503	3520	3495	3519	7716	40962	0
2009-05-11	3555	3565	3520	3541	20418	40590	0
2009-05-12	3542	3559	3536	3548	8620	39604	0
2009-05-13	3552	3557	3538	3541	6348	38260	0
2009-05-14	3531	3531	3497	3509	9980	39220	0
2009-05-15	3512	3529	3505	3512	4912	38848	0
2009-05-18	3507	3529	3490	3519	5064	38198	0
2009-05-19	3535	3536	3521	3529	3918	38508	0
2009-05-20	3528	3546	3520	3527	4448	37428	0
2009-05-21	3521	3543	3521	3528	3516	37160	0
2009-05-22	3527	3533	3512	3521	3114	37052	0
2009-05-25	3523	3536	3508	3517	3288	36886	0
2009-05-26	3517	3525	3507	3511	3716	36330	0
2009-05-27	3525	3525	3513	3518	1964	36264	0
2009-06-01	3535	3561	3535	3553	7498	34034	0
2009-06-02	3575	3587	3562	3570	8850	32736	0
2009-06-03	3577	3590	3570	3588	5000	33662	0
2009-06-04	3568	3650	3564	3632	27008	37000	0
2009-06-05	3663	3696	3635	3680	21096	36184	0
2009-06-08	3675	3701	3668	3698	13806	34032	0
2009-06-09	3701	3737	3683	3693	9072	32596	0
