YL9 豆油指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2006-01-09	5298	5343	5060	5087	138638	47074	0
2006-01-10	5060	5098	5032	5077	82792	47280	0
2006-01-11	5062	5083	5048	5067	70786	47320	0
2006-01-12	5054	5081	5046	5064	79622	47992	0
2006-01-13	5048	5057	5007	5015	66860	47444	0
2006-01-16	5038	5056	5016	5040	78454	44426	0
2006-01-17	5039	5047	5005	5014	66802	43054	0
2006-01-18	4995	5039	4990	5009	80082	41958	0
2006-01-19	5023	5086	5021	5075	93886	50128	0
2006-01-20	5070	5134	5047	5084	95314	56920	0
2006-01-23	5118	5127	5069	5083	85890	56294	0
2006-01-24	5082	5086	4998	5039	76616	53616	0
2006-01-25	5034	5064	5018	5047	72380	54316	0
2006-01-26	5028	5049	5009	5017	71200	48402	0
2006-01-27	5037	5056	5015	5037	59700	48226	0
2006-02-06	5176	5220	5132	5187	84114	49194	0
2006-02-07	5136	5160	5098	5149	79892	44834	0
2006-02-08	5083	5091	4963	5049	86914	40928	0
2006-02-09	5072	5095	5033	5046	77600	42132	0
2006-02-10	5106	5108	5046	5065	62930	43030	0
2006-02-13	5065	5073	5035	5055	63454	42864	0
2006-02-14	5054	5073	5048	5063	77324	42252	0
2006-02-15	5051	5066	5040	5054	84454	41610	0
2006-02-16	5054	5088	5047	5074	87700	42294	0
2006-02-17	5086	5150	5082	5132	98106	46260	0
2006-02-20	5185	5185	5127	5136	98738	45664	0
2006-02-21	5133	5155	5106	5107	91052	45026	0
2006-02-22	5094	5128	5081	5119	88932	45088	0
2006-02-23	5078	5114	5072	5088	97482	42888	0
2006-02-24	5100	5221	5095	5188	122328	48308	0
2006-02-27	5163	5176	5120	5135	103684	47592	0
2006-02-28	5167	5206	5152	5161	106300	48086	0
2006-03-01	5218	5277	5186	5256	150106	58472	0
2006-03-02	5276	5300	5244	5261	121706	60986	0
2006-03-03	5310	5334	5283	5293	119194	61258	0
2006-03-06	5275	5289	5244	5244	87818	61730	0
2006-03-07	5253	5281	5226	5244	108070	64300	0
2006-03-08	5210	5232	5207	5227	101952	61760	0
2006-03-09	5207	5244	5198	5244	79358	63274	0
2006-03-10	5236	5259	5220	5221	91724	61266	0
2006-03-13	5228	5259	5227	5250	139672	75588	0
2006-03-14	5222	5247	5222	5234	147260	77440	0
2006-03-15	5248	5255	5234	5240	170752	76588	0
2006-03-16	5236	5236	5219	5229	156966	76804	0
2006-03-17	5214	5220	5184	5187	130392	73926	0
