ZCL9 动煤指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2015-05-19	436.0	437.6	436.0	437.0	12	84	0.0
2015-05-20	436.8	437.0	434.8	435.8	16	84	0.0
2015-05-21	438.0	446.8	437.8	443.2	74	122	0.0
2015-05-22	439.2	443.8	439.2	441.4	68	154	0.0
2015-05-25	439.2	441.8	439.2	440.2	12	154	0.0
2015-05-26	441.0	447.8	439.2	441.4	336	338	0.0
2015-05-27	440.0	444.2	438.8	440.8	176	456	0.0
2015-05-28	440.8	441.0	439.6	439.8	86	524	0.0
2015-05-29	441.6	442.6	439.8	442.6	26	544	0.0
2015-06-01	443.0	443.0	440.2	440.8	34	552	0.0
2015-06-02	440.6	442.6	440.2	440.2	24	566	0.0
2015-06-03	442.2	442.2	440.0	440.0	16	572	0.0
2015-06-04	440.8	441.0	438.6	440.0	20	588	0.0
2015-06-05	440.8	440.8	438.0	438.4	28	592	0.0
2015-06-08	438.0	438.4	437.4	438.0	224	614	0.0
2015-06-09	438.0	438.0	438.0	438.0	2	616	0.0
2015-06-10	439.0	439.0	437.0	439.0	32	622	0.0
2015-06-11	440.0	440.0	437.2	437.4	8	628	0.0
2015-06-12	437.0	437.0	428.0	428.0	166	698	0.0
2015-06-15	430.0	430.4	428.8	428.8	58	692	0.0
2015-06-16	425.0	428.0	425.0	426.8	178	716	0.0
2015-06-17	425.0	426.0	421.6	422.6	70	746	0.0
2015-06-18	422.0	422.4	420.4	421.8	30	746	0.0
2015-06-19	414.6	422.6	414.6	420.8	62	762	0.0
2015-06-24	428.0	428.0	421.2	421.2	42	786	0.0
2015-06-25	423.0	423.0	419.2	420.0	62	804	0.0
2015-06-26	419.6	420.4	419.0	420.0	194	718	0.0
2015-06-29	419.4	420.0	411.8	420.0	50	698	0.0
2015-06-30	416.0	418.2	413.2	416.6	130	700	0.0
2015-07-01	414.0	417.4	414.0	415.0	60	726	0.0
2015-07-02	414.0	415.2	412.2	415.2	66	720	0.0
2015-07-03	415.0	417.2	413.6	414.2	86	732	0.0
2015-07-06	413.2	413.4	404.2	409.2	434	704	0.0
2015-07-07	408.0	408.4	400.0	406.8	316	608	0.0
2015-07-08	402.6	402.6	390.6	390.6	174	526	0.0
2015-07-09	370.4	401.0	370.4	395.0	136	490	0.0
2015-07-10	396.4	397.0	392.6	393.4	76	508	0.0
2015-07-13	395.0	396.8	381.8	390.0	62	516	0.0
2015-07-14	392.6	392.6	390.8	391.2	18	522	0.0
2015-07-15	393.6	393.6	389.8	390.2	32	532	0.0
2015-07-16	390.2	392.2	390.0	390.8	40	540	0.0
2015-07-17	390.0	392.8	390.0	392.4	50	572	0.0
2015-07-20	389.2	392.6	389.2	391.2	142	578	0.0
2015-07-21	392.8	392.8	389.0	391.0	90	610	0.0
2015-07-22	390.0	390.6	382.2	382.6	152	658	0.0
2015-07-23	379.2	384.6	379.0	380.6	84	696	0.0
2015-07-24	382.0	382.4	380.0	381.0	252	692	0.0
2015-07-27	382.2	383.0	379.8	381.4	184	718	0.0
2015-07-28	381.2	382.4	375.8	377.8	160	722	0.0
2015-07-29	379.8	380.8	376.0	377.4	326	912	0.0
2015-07-30	377.6	379.6	375.2	375.2	260	1068	0.0
2015-07-31	376.0	378.2	375.4	377.0	70	1084	0.0
2015-08-03	378.4	378.6	374.0	376.2	140	1114	0.0
2015-08-05	376.6	377.2	376.2	376.6	420	1082	0.0
2015-08-06	376.6	376.6	370.6	374.8	116	1100	0.0
2015-08-07	375.2	375.2	371.8	372.4	170	1146	0.0
2015-08-10	372.4	373.6	365.2	370.6	212	1256	0.0
2015-08-11	371.4	375.8	371.0	373.2	648	1394	0.0
2015-08-12	373.0	375.8	372.2	375.8	414	1464	0.0
2015-08-13	376.4	381.4	376.0	379.0	788	1678	0.0
2015-08-14	377.2	378.2	377.0	378.2	292	1718	0.0
2015-08-17	378.0	378.2	377.0	377.0	166	1748	0.0
2015-08-18	377.2	377.6	373.6	374.4	644	2108	0.0
2015-08-19	374.8	374.8	371.4	374.6	708	2156	0.0
2015-08-20	374.4	376.0	372.2	372.4	570	2220	0.0
2015-08-21	373.0	374.0	372.2	372.2	126	2240	0.0
2015-08-24	372.8	373.0	362.4	363.6	590	2182	0.0
2015-08-25	362.2	365.2	359.6	363.0	256	2102	0.0
2015-08-26	369.0	369.0	358.4	359.4	498	2418	0.0
2015-08-27	360.8	365.0	360.8	363.4	300	2430	0.0
2015-08-28	363.0	369.6	363.0	364.4	660	2548	0.0
2015-08-31	364.0	365.4	362.2	363.8	694	2622	0.0
2015-09-01	364.0	365.8	362.4	364.2	722	2532	0.0
2015-09-02	364.8	366.0	361.2	362.8	336	2542	0.0
2015-09-07	360.0	362.4	356.2	360.8	218	2546	0.0
2015-09-08	362.0	363.2	361.8	363.0	324	2528	0.0
2015-09-09	363.2	366.2	363.2	364.8	780	2928	0.0
2015-09-10	364.0	365.0	363.2	365.0	378	3036	0.0
2015-09-11	365.0	366.0	364.6	365.0	534	3206	0.0
2015-09-14	365.0	366.0	363.0	364.2	354	3134	0.0
2015-09-15	364.8	364.8	361.4	362.0	252	3216	0.0
2015-09-16	362.2	364.6	361.6	363.2	386	3350	0.0
2015-09-17	362.8	363.6	362.0	362.8	244	3398	0.0
