ZNL9 沪锌指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2007-03-26	28312	29519	28257	29175	21606	6068	0
2007-03-27	29450	29809	29450	29670	17198	7962	0
2007-03-28	29439	29597	29374	29523	9026	8666	0
2007-03-29	29457	29506	29026	29042	9190	9566	0
2007-03-30	29411	29482	29218	29389	14140	10736	0
2007-04-02	29385	29440	29257	29285	6046	11042	0
2007-04-03	28931	28981	28669	28777	12742	11870	0
2007-04-04	29252	29262	28974	28977	9230	12292	0
2007-04-05	29692	30239	29544	30239	19804	14856	0
2007-04-06	30240	31489	30108	31372	62900	18620	0
2007-04-09	31538	32183	31538	32180	34082	21114	0
2007-04-10	32848	33861	31985	32706	132998	27646	0
2007-04-11	32796	32946	32030	32370	118144	29340	0
2007-04-12	32502	33172	32350	32938	114138	32888	0
2007-04-13	31980	32241	31577	31692	59808	29552	0
2007-04-16	32020	32341	31839	32224	59672	31364	0
2007-04-17	32079	32612	31833	32142	76410	32702	0
2007-04-18	33566	33567	33377	33561	25508	31066	0
2007-04-19	33762	33995	31589	32766	146222	32622	0
2007-04-20	32994	33073	31969	32933	129208	32214	0
2007-04-23	33258	33631	32403	32825	110814	34920	0
2007-04-24	33950	34070	33442	34024	102662	38560	0
2007-04-25	33312	33450	32843	33041	125850	36504	0
2007-04-26	33341	33468	33098	33285	67730	37978	0
2007-04-27	32472	32669	32141	32253	73880	34952	0
2007-04-30	32289	32752	32110	32667	50978	32224	0
2007-05-08	33693	33694	33693	33694	658	31922	0
2007-05-09	35654	35654	34484	34553	100186	39332	0
2007-05-10	34170	34735	34107	34703	110314	43922	0
2007-05-11	33792	33988	33206	33314	87832	39636	0
2007-05-14	33851	33869	33319	33400	72970	39144	0
2007-05-15	32584	32584	32238	32239	59588	35242	0
2007-05-16	32279	32470	31451	31863	93018	34520	0
2007-05-17	30537	31034	30534	30534	62726	30054	0
2007-05-18	29732	30142	28931	29367	139704	29290	0
2007-05-21	29538	30724	29538	30723	58256	26842	0
2007-05-22	31363	32006	30796	30943	140848	29712	0
2007-05-23	30147	30386	29974	30175	74398	29470	0
2007-05-24	29953	30626	29953	30616	91886	32924	0
2007-05-25	29344	29886	29315	29822	61948	30476	0
2007-05-28	30686	30689	30686	30689	2336	28920	0
2007-05-29	31239	31239	30203	30266	64832	29678	0
2007-05-30	30244	30667	30025	30153	76866	28308	0
2007-05-31	30381	30795	30331	30733	55730	30168	0
2007-06-01	31041	31130	30561	30709	57082	29830	0
2007-06-04	30675	30767	30269	30269	43406	30052	0
2007-06-05	30617	30878	30566	30743	56942	31628	0
2007-06-06	30463	30693	30401	30526	35208	30202	0
2007-06-07	30217	30340	29945	30055	43598	28392	0
2007-06-08	30065	30159	29747	29852	35160	28120	0
2007-06-11	29885	30186	29689	30186	53008	30970	0
2007-06-12	30416	30439	29882	29886	37382	28784	0
2007-06-13	29825	29976	29725	29890	21938	27516	0
2007-06-14	29926	29956	29655	29688	18912	28816	0
2007-06-15	29779	29821	28822	28851	50698	27520	0
2007-06-18	29030	29304	28782	29276	51534	28270	0
2007-06-19	28952	28952	28601	28742	38768	27894	0
2007-06-20	28601	29020	28587	28892	40074	27854	0
2007-06-21	28802	28871	28694	28803	24042	27264	0
2007-06-22	28408	28478	28094	28134	45980	29558	0
2007-06-25	28180	28214	27074	27077	63402	35086	0
2007-06-26	27230	27238	26435	26473	113528	36506	0
2007-06-27	25871	25903	25593	25594	48934	38054	0
2007-06-28	25407	26571	25310	26551	207860	41804	0
2007-06-29	26487	26981	25890	26719	267496	42876	0
2007-07-02	26469	26744	26184	26612	174114	42494	0
2007-07-03	27131	27537	27005	27537	123882	40806	0
2007-07-04	27247	27428	26626	26695	193778	45724	0
2007-07-05	26905	27012	26537	26716	162444	45606	0
2007-07-06	26583	26607	26183	26306	119510	46588	0
2007-07-09	26393	27065	26374	26973	117906	42794	0
2007-07-10	26836	26910	26535	26572	120210	44570	0
2007-07-11	26517	26517	26238	26377	92444	44096	0
2007-07-12	26894	26945	26577	26934	83514	39742	0
2007-07-13	27002	27306	26827	27204	84744	38540	0
2007-07-16	27246	27384	27035	27082	87322	39566	0
2007-07-17	26808	27012	26722	26993	55046	38926	0
2007-07-18	26931	27447	26920	27346	77172	41156	0
2007-07-19	27333	27526	27262	27401	71360	41226	0
2007-07-20	27800	28466	27800	28466	86090	38802	0
2007-07-23	28826	29860	28619	29221	154590	39660	0
2007-07-24	28918	28997	28439	28521	158328	36032	0
2007-07-25	28590	28958	28590	28893	113550	38196	0
2007-07-26	28399	29175	28285	29107	136160	37182	0
2007-07-27	28320	28845	28138	28282	158300	37530	0
2007-07-30	28289	28596	28238	28450	94050	36476	0
2007-07-31	28538	28811	28538	28746	67608	35704	0
2007-08-01	28855	29042	28113	28125	89104	35894	0
2007-08-02	28407	28480	28044	28382	98292	35470	0
2007-08-03	28270	28387	28166	28346	52406	35798	0
2007-08-06	27481	27648	27357	27485	63060	37682	0
2007-08-07	27935	27935	27605	27655	51242	39906	0
2007-08-08	27972	28027	27730	27848	53288	39508	0
2007-08-09	27875	28390	27842	28390	74932	39406	0
2007-08-10	27950	28169	27808	27971	85238	40172	0
2007-08-13	28145	28201	28025	28130	45578	41512	0
2007-08-14	28157	28177	27928	28029	34736	42064	0
2007-08-15	27725	27886	27669	27768	30104	43672	0
2007-08-16	27624	27880	26724	27128	108610	45818	0
2007-08-17	26140	26267	26139	26139	29250	47018	0
2007-08-20	26420	27092	26420	27036	90372	52050	0
2007-08-21	26813	26986	26600	26773	87660	52604	0
2007-08-22	26718	26862	26496	26789	74648	53706	0
2007-08-23	27472	27635	27302	27605	71692	50630	0
2007-08-24	27584	27615	27190	27199	74906	52548	0
2007-08-27	27536	27777	27458	27638	70142	51460	0
2007-08-28	27733	27733	27310	27336	55230	53140	0
2007-08-29	26884	27164	26805	27119	58424	53896	0
2007-08-30	27315	27516	27315	27432	54308	52916	0
2007-08-31	27376	27616	27255	27608	64792	56200	0
2007-09-03	27711	27882	27556	27569	57786	56044	0
2007-09-04	27391	27752	27381	27603	64760	59052	0
2007-09-05	27447	27596	27050	27213	103424	65788	0
2007-09-06	26770	26851	26406	26472	113502	82550	0
2007-09-07	26595	26704	26484	26487	74170	90114	0
2007-09-10	26098	26170	25626	25630	81640	99532	0
2007-09-11	25328	26026	25261	25886	156010	109324	0
2007-09-12	26315	26315	25717	25755	125148	111378	0
2007-09-13	25905	25947	25654	25679	77076	111862	0
2007-09-14	26097	26104	25829	26053	94596	107310	0
2007-09-17	25995	26447	25946	26418	92278	106896	0
2007-09-18	26084	26340	26029	26084	103470	111662	0
2007-09-19	26600	26693	26388	26633	110302	101466	0
2007-09-20	26741	27003	26674	26727	94804	99300	0
2007-09-21	26618	26711	26429	26622	76110	100446	0
2007-09-24	26546	26746	26525	26639	59902	102338	0
2007-09-25	26664	26708	26570	26701	62440	100486	0
2007-09-26	26729	26770	26555	26600	51822	97080	0
2007-09-27	26811	26868	26694	26854	70748	91106	0
2007-09-28	27020	27139	27020	27136	68600	89672	0
2007-10-08	27050	27084	26262	26354	57456	90594	0
2007-10-09	26044	26237	25932	26003	60986	92008	0
2007-10-10	26175	26221	26014	26187	49978	93546	0
2007-10-11	26398	26443	26255	26331	48478	91534	0
2007-10-12	26241	26433	26073	26390	45606	89756	0
2007-10-15	26554	26870	26488	26863	80222	91360	0
2007-10-16	26762	26906	26503	26854	69996	91110	0
2007-10-17	26339	26581	26290	26348	73564	91090	0
2007-10-18	26333	26334	26151	26235	52646	93002	0
2007-10-19	26197	26395	26170	26354	59782	91334	0
2007-10-22	26040	26122	25594	25608	70730	93204	0
2007-10-23	25679	25888	25593	25729	67396	92858	0
2007-10-24	25720	25732	25462	25492	55578	96272	0
2007-10-25	25450	25710	25377	25459	54862	92934	0
2007-10-26	25584	25730	25520	25720	41426	91786	0
2007-10-29	25803	26037	25729	25984	55032	92944	0
2007-10-30	25675	25685	25349	25426	52906	95452	0
2007-10-31	25326	25560	25087	25188	74736	98684	0
2007-11-01	25526	25526	24646	24649	109910	108254	0
2007-11-02	24132	24195	23796	23796	69282	107826	0
2007-11-05	24024	24080	23091	23239	160714	107072	0
2007-11-06	23206	23516	22771	23336	183594	109184	0
2007-11-07	23570	23635	23244	23443	145460	108990	0
2007-11-08	22937	22970	22530	22530	144478	112200	0
2007-11-09	22659	22838	22525	22795	169682	108510	0
2007-11-12	22489	22495	21874	21886	163938	105562	0
2007-11-13	21660	21717	21245	21247	99096	97904	0
2007-11-14	21141	21482	21108	21250	172108	100958	0
2007-11-15	21702	21797	20537	20746	208526	100478	0
2007-11-16	20209	20356	20176	20176	44232	93294	0
2007-11-19	20179	20179	19033	19035	192526	99982	0
2007-11-20	18229	18253	18229	18253	13116	91082	0
2007-11-21	17817	17817	17218	17235	23944	98938	0
2007-11-22	16287	18780	16186	17976	585434	70752	0
2007-11-23	17826	18150	17222	18150	232570	74932	0
2007-11-26	18461	18820	17823	18290	338484	79254	0
2007-11-27	18543	18724	18167	18575	363740	75636	0
2007-11-28	18485	19045	18422	19039	315772	74296	0
2007-11-29	19482	19537	19157	19534	186268	72108	0
2007-11-30	19499	19757	18913	19083	513168	78864	0
2007-12-03	19293	19576	18696	18804	383620	87808	0
2007-12-04	18387	18481	18260	18264	87434	85812	0
2007-12-05	18148	18301	17643	18268	444268	87722	0
2007-12-06	18018	18435	17817	18018	432676	88902	0
2007-12-07	18169	18273	17974	18227	340280	87610	0
2007-12-10	18463	18490	18195	18384	237326	83192	0
2007-12-11	18208	18478	18145	18442	188612	87248	0
2007-12-12	18459	18459	17618	17685	324160	96472	0
2007-12-13	18005	18306	17843	18175	286182	88068	0
2007-12-14	17724	17974	17708	17960	186432	88306	0
2007-12-17	17866	17971	17599	17648	192160	99032	0
2007-12-18	17427	17580	17371	17513	163112	91370	0
2007-12-19	17604	17720	17398	17719	149808	89362	0
2007-12-20	17808	18241	17678	18184	210570	90468	0
2007-12-21	17996	18694	17908	18627	298998	81876	0
2007-12-24	19076	19145	19023	19145	9380	80320	0
2007-12-25	20062	20062	18884	19080	296630	63626	0
2007-12-26	19030	19370	18889	19298	180200	63654	0
2007-12-27	19261	19854	19254	19426	225574	62548	0
2007-12-28	19343	19359	18893	19032	178296	58702	0
2008-01-02	18965	19401	18779	18997	179974	63266	0
2008-01-03	19252	19702	19237	19676	218226	77046	0
2008-01-04	20173	20173	20163	20173	4234	74646	0
2008-01-07	20053	20697	19856	20416	406936	75740	0
2008-01-08	20212	20852	20212	20802	349394	84466	0
2008-01-09	21459	21459	20897	21088	363000	81080	0
2008-01-10	20826	20829	20285	20288	239292	81782	0
2008-01-11	20222	20452	19835	20415	382588	81576	0
2008-01-14	20068	20348	19879	20065	313868	89622	0
2008-01-15	20116	20223	19364	19374	293270	93716	0
2008-01-16	18983	19120	18983	18984	19326	90930	0
2008-01-17	18628	19355	18500	19355	352302	88740	0
2008-01-18	19158	19327	18899	19265	332888	91786	0
2008-01-21	19472	19702	19190	19197	291704	100966	0
2008-01-22	18707	18826	18707	18710	32110	93114	0
2008-01-23	18988	19210	17776	18512	541234	98168	0
2008-01-24	18309	18923	18266	18810	525700	99368	0
2008-01-25	18773	18931	18634	18797	372846	98768	0
2008-01-28	18714	18788	18287	18517	358210	101434	0
2008-01-29	19006	19226	18819	19224	244000	97320	0
2008-01-30	19589	19938	19300	19569	431424	93196	0
